text_original,text_model,text_normalized
"Dia nge-fans berat tuh ama Justin Timberlake, Usher. Kalo yang dari korea dia suka DBSK, Suju, Shinhwa, n Kim Tae Hee'","dia nge fans berat tuh ama justin timberlake, usher. kalo yang dari korea dia suka dbsk, suju, shinhwa, n kim tae hee","dia nge fan berat itu sama justin timberlake, usher. kalau yang dari korea dia suka dbsk, suju, shinhwa, dan kim tai he"
Dalam berita #JPolling,dalam berita jpolling,dalam berita polling
USER Cebong maennya gak pernah keluar dr kolam pak...makanya gak tau....udah jgn di tanggepin...ntar cebong laen pd nongol dr dasar kolam buteknya..',user cebong maennya gak pernah keluar dr kolam pak...makanya gak tau....udah jgn di tanggepin...ntar cebong laen pd nongol dr dasar kolam buteknya..,pengguna cebong mainnya tidak pernah keluar dari kolam pak...makanya tidak tau....udah jangan di tanggepin...ntar cebong lain pada nongol dari dasar kolam buteknya..
USER Namanya titit. Kalo itu tutut',user namanya titit. kalo itu tutut,pengguna namanya titit. kalau itu tutut
USER USER USER yg kaya gini layak di tangkap.,user user user yg kaya gini layak di tangkap.,pengguna pengguna pengguna yang kayak begini layak di tangkap.
LESBI GUA UDAH AJA ANJIR',lesbi gua udah aja anjir,lesbi gue sudah saja anjir
USER Anjir serem maennya begituan \xf0\x9f\x98\x82\xf0\x9f\x91\x8c',user anjir serem maennya begituan,pengguna anjir seram mainnya begituan
eh ketauan proyek nya cina yg garap? Terlalu!! Apa putra putri Indonesia gak diberi kesempatan? URL,eh ketauan proyek nya cina yg garap? terlalu!! apa putra putri indonesia gak diberi kesempatan? url,eh ketahuan proyek nya cina yang garap? terlalu!! apa putra putri indonesia tidak diberi kesempatan? uniform resource locator
USER USER USER USER USER USER Kaga dan shegiya yana bani hakuri wllh sai yasha wahala',user user user user user user kaga dan shegiya yana bani hakuri wllh sai yasha wahala,pengguna pengguna pengguna pengguna pengguna pengguna tidak dan chagiya yana bani hakuri waduh sai yasha pahala
"USER Bener2 POLITIKUS BUSUK luh ZONK !!!\nPak USER , Mending disuruh DIAM dulu nih congor jongosnya bapak karena semakin banyak ngomong saya semakin yakin elektabilitas bapak semakin nyungsep dan orang makin gak simpati sama bapak...'","user bener2 politikus busuk luh zonk !!! npak user , mending disuruh diam dulu nih congor jongosnya bapak karena semakin banyak ngomong saya semakin yakin elektabilitas bapak semakin nyungsep dan orang makin gak simpati sama bapak...","pengguna benar benar politikus busuk kamu apes !!! pak pengguna , mending disuruh diam dulu nih congor jongosnya bapak karena semakin banyak berbicara saya semakin yakin elektabilitas bapak semakin nyungsep dan orang makin tidak simpati sama bapak..."
"USER Abisnya kesel, udah ditegor pdhal..emg kalo efek ngrokok itu salah satunya bikin budek sih, jangan ngerokok ya kak ajus \xf0\x9f\x99\x88'","user abisnya kesel, udah ditegor pdhal..emg kalo efek ngrokok itu salah satunya bikin budek sih, jangan ngerokok ya kak ajus","pengguna habisnya kesel, sudah ditegur pdhal..emg kalau efek merokok itu salah satunya bikin budek sih, jangan merokok ya kak ajus"
USER Kalau begitu kenapa ijin sekolah swasta tidak keluar pak dedi di purwakarta?\nUntuk yang yayasannya kristen khususnya.\n\nKan hak seluruh rakyat dengan agama apapun.\n\nSalam damai.\n\n~ems~',user kalau begitu kenapa ijin sekolah swasta tidak keluar pak dedi di purwakarta? nuntuk yang yayasannya kristen khususnya. n nkan hak seluruh rakyat dengan agama apapun. n nsalam damai. n n ems,pengguna kalau begitu kenapa izin sekolah swasta tidak keluar pak dedi di purwakarta? untuk yang yayasannya kristen khususnya. dan kan hak seluruh rakyat dengan agama apapun. dan salam damai. dan dan ems
Tapi ada cara sederhana untuk mengidentifikasi para pembajak agama ini. Apakah ayat2 yg mereka suarakan mendatangkan kedamaian atau permusuhan? Apakah ajaran2 yg mereka teriakkan membuat hati jadi tenang atau membuat hati jadi panas?,tapi ada cara sederhana untuk mengidentifikasi para pembajak agama ini. apakah ayat2 yg mereka suarakan mendatangkan kedamaian atau permusuhan? apakah ajaran2 yg mereka teriakkan membuat hati jadi tenang atau membuat hati jadi panas?,tapi ada cara sederhana untuk mengidentifikasi para pembajak agama ini. apakah ayat ayat yang mereka suarakan mendatangkan kedamaian atau permusuhan? apakah ajaran ajaran yang mereka teriakan membuat hati jadi tenang atau membuat hati jadi panas?
USER USER USER USER USER Ga jelas nih admin apa presiden partai ð???asalll banget pokoknyah,user user user user user ga jelas nih admin apa presiden partai ???asalll banget pokoknyah,pengguna pengguna pengguna pengguna pengguna tidak jelas nih admin apa presiden partai ???asalll banget pokoknya
Seorang Ahok konsisten dengan memberangkatkan saudara kita umat muslim yg kurang mampu bisa pergi umroh secara gratis.; ; Tapi dilain sisi ada banyak penipu yang pakai embel2 agama untuk mengubur harapan saudara kita umat muslim yang kurang mampu untuk dap,seorang ahok konsisten dengan memberangkatkan saudara kita umat muslim yg kurang mampu bisa pergi umroh secara gratis. tapi dilain sisi ada banyak penipu yang pakai embel2 agama untuk mengubur harapan saudara kita umat muslim yang kurang mampu untuk dap,seorang ahok konsisten dengan memberangkatkan saudara kita umat muslim yang kurang mampu bisa pergi umrah secara gratis. tapi dilain sisi ada banyak penipu yang pakai embel embel agama untuk mengubur harapan saudara kita umat muslim yang kurang mampu untuk dap
Marked as to-read: Catatan Harian Menantu Sinting by Rosi L. Simamora URL,marked as to read catatan harian menantu sinting by rosi l. simamora url,marked as to read catatan harian menantu sinting by rosi l. simamora uniform resource locator
"USER kayak ayam kelaperan...semua dimakan, karet, batu, sampah dsb....; adeuhh","user kayak ayam kelaperan...semua dimakan, karet, batu, sampah dsb.... adeuhh","pengguna kayak ayam kelaperan...semua dimakan, karet, batu, sampah dsb.... aduh"
"USER Para bani kampretzz otak micin byk bertanya om bud.. knapa pemerintah mesti keluar duit untuk freeport, kan dah mau habis kontrak-nya..? Mungkin om bud bisa membantu..?'","user para bani kampretzz otak micin byk bertanya om bud.. knapa pemerintah mesti keluar duit untuk freeport, kan dah mau habis kontrak nya..? mungkin om bud bisa membantu..?","pengguna para bani kampret otak micin banyak bertanya om bud.. kenapa pemerintah mesti keluar duit untuk freeport, kan sudah mau habis kontrak nya..? mungkin om bud bisa membantu..?"
SUASANA STQ TINGKAT KABUPATEN NGADA . NTT . CUKUP DALAM MASDJID TANPA MIMBAR TANPA DANA . SWASEMBADA DARI UMAT ISLAM UNTUK BAWA NAMA PEMDA DALAM MTQ KE TINGKAT PROPINSI . NTT. MENYEDIHKAN .; #2019GantiPresiden,suasana stq tingkat kabupaten ngada . ntt . cukup dalam masdjid tanpa mimbar tanpa dana . swasembada dari umat islam untuk bawa nama pemda dalam mtq ke tingkat propinsi . ntt. menyedihkan . 2019gantipresiden,suasana stq tingkat kabupaten tidak ada . ntt . cukup dalam masjid tanpa mimbar tanpa dana . swasembada dari umat islam untuk bawa nama pemerintah daerah dalam musabaqah tilawatil quran ke tingkat propinsi . ntt. menyedihkan . 2019 ganti presiden
"Ustadz Subki Al-Bughury, S. Sos.I saja mendukung Pilkada Damai di Kab. Sinjai Tanpa Hoax, Ujaran Kebencian dan Isu Sara,..KALAU ANDA...??; USER USER USER","ustadz subki al bughury, s. sos.i saja mendukung pilkada damai di kab. sinjai tanpa hoax, ujaran kebencian dan isu sara,..kalau anda...?? user user user","ustaz subki al bughury, s. sos.i saja mendukung pilihan kepala daerah damai di kab. sinjai tanpa hoax, ujaran kebencian dan isu sara,..kalau anda...?? pengguna pengguna pengguna"
"USER Waduh, adminnya ga ada dukungan teknis dr ahli ekonomi partai ya. Akun resmi partai harus dimanfaatkan utk komunikasikan pesan yg berarti dan mendidik, paling tidak utk anggota dan simpatisannya.","user waduh, adminnya ga ada dukungan teknis dr ahli ekonomi partai ya. akun resmi partai harus dimanfaatkan utk komunikasikan pesan yg berarti dan mendidik, paling tidak utk anggota dan simpatisannya.","pengguna waduh, adminnya tidak ada dukungan teknis dari ahli ekonomi partai ya. akun resmi partai harus dimanfaatkan untuk komunikasikan pesan yang berarti dan mendidik, paling tidak untuk anggota dan simpatisannya."
"Sumbu pendek: jokowi koalisi dengan negara PKI, Jokowi PKI, lengserkan jokowi.... pusying hamba","sumbu pendek jokowi koalisi dengan negara pki, jokowi pki, lengserkan jokowi.... pusying hamba","sumbu pendek jokowi koalisi dengan negara pki, jokowi pki, lengserkan jokowi.... pusing hamba"
"USER Mungkin juga bisa. Cuma waktu jamannya suju gue ga begitu ngeh. Tapi kan tau sendiri akhir2 ini org indonesia gimana, asal korea dikit dibilang kafir (ykwim), plastik, apalagi abis insiden poll kemaren. But kalo emg berjalan baik, alhamd","user mungkin juga bisa. cuma waktu jamannya suju gue ga begitu ngeh. tapi kan tau sendiri akhir2 ini org indonesia gimana, asal korea dikit dibilang kafir ykwim , plastik, apalagi abis insiden poll kemaren. but kalo emg berjalan baik, alhamd","pengguna mungkin juga bisa. cuma waktu zamannya super junior gue tidak begitu ngeh. tapi kan tau sendiri akhir akhir ini orang indonesia gimana, asal korea sedikit dibilang kafir you know what i mean , plastik, apalagi habis insiden pol kemaren. but kalau memang berjalan baik, alhamdulillah"
USER Betul pak tapi banyak juga rakyat sudah mengerti untuk tidak melihat agamanya. Semua teror Bom dan aksi Teror hanyalah mereka yg mau berkuasa di republik ini.',user betul pak tapi banyak juga rakyat sudah mengerti untuk tidak melihat agamanya. semua teror bom dan aksi teror hanyalah mereka yg mau berkuasa di republik ini.,pengguna betul pak tapi banyak juga rakyat sudah mengerti untuk tidak melihat agamanya. semua teror bom dan aksi teror hanyalah mereka yang mau berkuasa di republik ini.
"2018, IMF Pertahankan Perkiraan Pertumbuhan Ekonomi GlobalÂ 3,9%","2018, imf pertahankan perkiraan pertumbuhan ekonomi global 3,9","2018, international monetary fund pertahankan perkiraan pertumbuhan ekonomi global 3,9"
USER Gubernur yg terpilih sekarang.akan hancur dgn perbuatannya.lihat saja nanti.ahok no 1.,user gubernur yg terpilih sekarang.akan hancur dgn perbuatannya.lihat saja nanti.ahok no 1.,pengguna gubernur yang terpilih sekarang.akan hancur dengan perbuatannya.lihat saja nanti.ahok no 1.
"SAYA NEMU TULISAN INI.; ; BANKING FOR NON BANK; Urusan bank di Indonesia sebagai urat nadi ekonomi adalah masalah yang bikin ngurut dada. Sedih, sebel, nahan marah. Saya tidak salahkan professional perbankan. Mereka...","saya nemu tulisan ini. banking for non bank urusan bank di indonesia sebagai urat nadi ekonomi adalah masalah yang bikin ngurut dada. sedih, sebel, nahan marah. saya tidak salahkan professional perbankan. mereka...","saya menemukan tulisan ini. banking for non bank urusan bank di indonesia sebagai urat nadi ekonomi adalah masalah yang bikin mengurut dada. sedih, sebel, menahan marah. saya tidak salahkan profesional perbankan. mereka..."
USER Nabi aja dikejar-kejar dan dinistakan oleh orang kafir dari dulu ampe sekarang. Terus kita disuruh menyanjung orang yang jelas-2 memusuhi agama ini? Akal sehat mana akal sehat...?,user nabi aja dikejar kejar dan dinistakan oleh orang kafir dari dulu ampe sekarang. terus kita disuruh menyanjung orang yang jelas 2 memusuhi agama ini? akal sehat mana akal sehat...?,pengguna nabi saja dikejar kejar dan dinistakan oleh orang kafir dari dulu sampai sekarang. terus kita disuruh menyanjung orang yang jelas 2 memusuhi agama ini? akal sehat mana akal sehat...?
USER USER USER USER Cebong otaknya lagi ngeblend......',user user user user cebong otaknya lagi ngeblend......,pengguna pengguna pengguna pengguna cebong otaknya lagi ngeblend......
"USER Eh dungu, ngapain lu masih mensen2 gue, katanya mau muter alun gue.\nLu itu cuma bisa forward berita tanpa analisa.\nKelompok MAHO mana ada yg cerdas wk wk wk'","user eh dungu, ngapain lu masih mensen2 gue, katanya mau muter alun gue. nlu itu cuma bisa forward berita tanpa analisa. nkelompok maho mana ada yg cerdas wk wk wk","pengguna eh dungu, apa kamu masih mention mention gue, katanya mau memuter alun gue. kamu itu cuma bisa forward berita tanpa analisa. kelompok manusia homo mana ada yang cerdas wkwk wkwk wkwk"
USER USER Untung presidennya bapak Jokowi !! ; Mungkin kalau bukan beliau pasti nih bandara sudah mangkrak di tengah jalan. ; Terimakasih bapak presiden ð???ð???; Salam 2 priode,user user untung presidennya bapak jokowi !! mungkin kalau bukan beliau pasti nih bandara sudah mangkrak di tengah jalan. terimakasih bapak presiden ??? ??? salam 2 priode,pengguna pengguna untung presidennya bapak jokowi !! mungkin kalau bukan beliau pasti nih bandara sudah mangkrak di tengah jalan. terima kasih bapak presiden ??? ??? salam 2 periode
