id,text,label,source,source_group,created_at
42,"Orang suku itu emang rendahan semua",hate_speech,sample,demo,2026-01-15T14:05:00Z
43,"Cina semua emang pelit dan licik",hate_speech,sample,demo,2026-01-15T14:10:00Z
44,"Dasar banci, malu-maluin gender",hate_speech,sample,demo,2026-01-15T14:15:00Z
45,"Orang cacat ga usah banyak ngomong",hate_speech,sample,demo,2026-01-15T14:20:00Z
46,"Usir aja semua pendatang dari sini",hate_speech,sample,demo,2026-01-15T14:25:00Z
47,"Agama lo emang agama teroris",hate_speech,sample,demo,2026-01-15T14:30:00Z
48,"Orang dari daerah itu emang barbar semua",hate_speech,sample,demo,2026-01-15T14:35:00Z
49,"Dasar ras inferior, pantas dijajah",hate_speech,sample,demo,2026-01-15T14:40:00Z
50,"Kaum pelangi emang sakit jiwa semua",hate_speech,sample,demo,2026-01-15T14:45:00Z
51,"Badannya sih enak buat di itu in",sexual_harassment,sample,demo,2026-01-15T15:00:00Z
52,"Kirim foto tanpa baju dong",sexual_harassment,sample,demo,2026-01-15T15:05:00Z
53,"Cewek gini mah tinggal gasp aja",sexual_harassment,sample,demo,2026-01-15T15:10:00Z
54,"Dada nya gede banget, mau dong",sexual_harassment,sample,demo,2026-01-15T15:15:00Z
55,"Ajak ke hotel yuk beb",sexual_harassment,sample,demo,2026-01-15T15:20:00Z
56,"Mending jadi pelacur aja lo sana",sexual_harassment,sample,demo,2026-01-15T15:25:00Z
57,"Pingin banget megang tubuh lo",sexual_harassment,sample,demo,2026-01-15T15:30:00Z
58,"Cewe murahan emang begini",sexual_harassment,sample,demo,2026-01-15T15:35:00Z
59,"Muka lo minta dicium itu",sexual_harassment,sample,demo,2026-01-15T15:40:00Z
60,"Body goals, buat dijadiin istri simpanan",sexual_harassment,sample,demo,2026-01-15T15:45:00Z
61,"Gue akan cari alamat lo dan hajar",threat_intimidation,sample,demo,2026-01-15T16:00:00Z
62,"Awas lo, tau rumah lo gue",threat_intimidation,sample,demo,2026-01-15T16:05:00Z
63,"Mati aja lo sana, ga ada yang peduli",threat_intimidation,sample,demo,2026-01-15T16:10:00Z
64,"Tunggu aja, gue kirim orang ke tempat lo",threat_intimidation,sample,demo,2026-01-15T16:15:00Z
65,"Ayo kita keroyok dia rame-rame",threat_intimidation,sample,demo,2026-01-15T16:20:00Z
66,"Gue bunuh lo kalau ketemu",threat_intimidation,sample,demo,2026-01-15T16:25:00Z
67,"Hati-hati di jalan ya, siapa tau ketabrak",threat_intimidation,sample,demo,2026-01-15T16:30:00Z
68,"Lo bakal nyesel udah bikin video ini",threat_intimidation,sample,demo,2026-01-15T16:35:00Z
69,"Gue sebar data pribadi lo ke internet",threat_intimidation,sample,demo,2026-01-15T16:40:00Z
70,"Kita habisi dia sama-sama, bantai",threat_intimidation,sample,demo,2026-01-15T16:45:00Z
